Keyword,Answer
Gamma-amino butyric acid (GABA),"Gamma-amino butyric acid (GABA)Increased risk of developmental delay and ASD is associated with prematurity. Reductions in cerebral GABA likelycontribute to the sensorimotor and behavioral anomalies of individuals with ASD.[37, 38, 39] Reductions in sensorimotorGABA were observed by magnetic resonance spectroscopy (MRS) in participants with ASD in contrast to matched controlswithout ASD.[37, 38] Behavioral measures of inhibition correlated with the reductions in sensorimotor GABA concentrations.[37, 38] By contrast, GABA concentrations were similar in a different cohort of boys with ASD and typical boys.[37, 40] In theboys with ASD the ratio of GABA/creatine on MRS was associated with symptoms of ASD.[37, 41]Postmortem specimens of the brains of people with ASD demonstrated reductions for gamma-aminobutyric acid–B(GABAB) receptors in the cingulate cortex, a key region for the evaluation of social relationships, emotions, and cognition,and in the fusiform gyrus, a crucial region to evaluate faces and facial expressions.[42] These findings provide the basis forfurther investigation of autism and other pervasive developmental disorders."
Glutathione (GSH),"Glutathione (GSH)As the main brain antioxidant glutathione (GSH) may play a role in the development of ASD. ASD is hypothesized to becaused by oxidative stress. MRS demonatrated reduced GSH, Cr, and myoinositol (MI) in the doral anterior cingulate cortex(dACC) of participants with ASD in contrast to healhty participants without dACC.[37, 43]"
N-acetylaspartate (NAA),"N-acetylaspartate (NAA)Diminished neuronal activity indicated by reductions of NAA in frontal, parietal, and temporal lobes, amygdala,hippocampus, and thalamus of children with ASD was observed on MRS.[37, 44] MRS also showed diminishedconcentrations of creatine (Cr) and phosphocreatine (PCr) in the cortex and the white matter of people with ASD, suggestingreduced cellular oxidative metabolism.[45, 37] Diminished neuronal metabolsm in the anterior white matter of boys with ASDin contrast to age-matched controls was indicated by the reduced NAA/Cr ratios on MRS.[46, 37]"
Metabolic anomalies,"Metabolic anomaliesIn animal studies, dysfunction of serotonin and the neuropeptides oxytocin and vasopressin has been associated withabnormalities in affiliative behaviors. Neurophysiologic dysfunction involving one or more of these substances may also bepresent in humans with ASD.Elevations of blood serotonin levels occur in approximately one third of individuals with ASD and are also reported in theparents and siblings of patients. Functional anomalies in other neurotransmitters (eg, acetylcholine, glutamate) have also emedicine.medscape.com/article/912781-print been identified in some people with ASD.[32, 47]Serum biotinidase is reduced in some people with ASD. This enzyme is required for the use and recycling of the B vitaminbiotin. Deficiency of biotin has been linked with behavioral disorders.Immunologic studies have identified abnormalities such as decreased plasma concentrations of the C4B complementprotein. Such abnormalities may be the source of the increased susceptibility to infection seen in some people with ASD.Diet is a controversial aspect of ASD. The greatest attention has been given to gluten- and casein-free diets; anecdotalinformation suggests that these diets help some children with ASD.[48] Test findings suggest that low-functioning childrenwith ASD may have impairment in the metabolism of phenolic amines.[49] Therefore, symptoms of ASD are possiblyaggravated by the consumption of dairy products, chocolates, corn, sugar, apples, and bananas; however, no largepopulation studies have confirmed this.Oxidative stress may play a role in the pathogenesis and the pathophysiology of ASD.[50] Compared with normal children,children with ASD have decrements in the following:[50]Plasma levels of cysteine, glutathione, and methionineThe ratio of S -adenosyl-L-methionine (SAM) to S -adenosyl-L-homocysteine (SAH)The ratio of reduced to oxidized glutathioneSome children with ASD display hyperlacticacidemia[51] as well as evidence of mitochondrial disorders[51] includingcarnitine deficiency.[52] These abnormalities may reflect disturbed neuronal energy metabolism."
Mitochondrial dysfunction,"Mitochondrial dysfunctionSince mitochondrial function may be impaired in some individuals with ASD,[51, 53]  a lack of dietary components containingkey cofactors[54] may play a role in the pathogenesis."
Neural inflammation,"A low concentration of anti-inflammatory cytokines may produce an imbalance between anti-inflammatory and pro- inflammatory cytokines to trigger inflammation in ASD.[55] Infection in pregnancy may release inflammatory cytokines crossing the placenta to result in neuronal inflammation in the fetus.[56]"
Etiology,"In the 1940s, in his seminal papers that first identified ASD, the child psychiatrist Leo Kanner conjectured that ASD resultedfrom rejection of the infant by emotionally cold parents (""refrigerator mothers""). In the 1950s and 1960s, Bruno Bettelheimpopularized this idea. Since then, careful family studies have disproved the hypothesis that the development of ASD inchildren is caused by faulty parenting. Sensitive clinicians communicate to parents that their parenting skills did not causetheir child's ASD. Repeated communication of this fact will help to minimize the guilt often experienced by parentsof children with ASD.The causes of ASD are unknown. Hypotheses include obstetric complications, infection, genetics, and toxic exposures.[57,58, 59] None of these, however, has been established as a definite etiology.Many factors have been associated with the risk for ASD, including maternal and paternal ages of 35 years or older,Caucasian or Asian race of mother or father, and college graduation of mother or father.[60]"
Obstetric complications,"Many individuals with ASD and related conditions experienced untoward events in their prenatal and neonatal periods and during delivery.[13, 14, 15, 61] It is unclear whether the obstetric complications caused ASD or whether ASD and obstetric complications resulted from environmental or other problems. During the perinatal period, the factors associated with ASD risk were hypertension or diabetes in mother, threatened abortion, antepartum hemorrhage, caesarian delivery, gestational age ≤ 36 weeks, parity ≥ 4, spontaneous labor, induced labor, no labor, breech presentation, preeclampsia, and fetal distress. During the postnatal period, the factors associated with ASD risk were low birth weight, postpartum hemorrhage, male gender, and brain anomaly.[60] In a large Danish study published in JAMA, maternal use of valproate during pregnancy was associated with a significantly increased risk for ASD in offspring. The drug is already not recommended for use in pregnant women due to the risk of congenital malformations and its possible association with low intelligence in children exposed during pregnancy. Researchers used data on all children born in Denmark between 1996 and 2006. Of the 655,615 children born in the study period, 5437 had ASD. There were 2644 children exposed to antiepileptic drugs during pregnancy, 508 of whom were exposed to valproate. Analysis showed that the children exposed to valproate had a 3-fold increased risk for ASD compared with unexposed children, even after adjustment for parental psychiatric disease and epilepsy.[62, 63] The management of women with epilepsy who desire to bear children can be challenging. A woman with an ongoing seizure disorder requires treatment because maternal seizures can result in serious morbidity and mortality for the mother and the fetus. To stop anticonvulsant therapy when a woman with a seizure disorder becomes pregnant to avoid teratologic effects may precipitate uncontrolled seizures that may be fatal to the mother and the fetus. Therefore physicians treating women with child-bearing potential can appropriately initiate frank conversations about future pregnancies. Juvenile myoclonic epilepsy and other seizure disorders typically cause seizures throughout adulthood so pharmacotherapy throughout adulthood is a reasonable treatment plan. While valproate is an excellent agent to control a vast spectrum of seizure disorders, its use in women of child-bearing potential is fraught with danger due to the great risk of producing ASD, spina bifida, and other birth defects. A frank conversation between the physician and the woman of child-bearing potential about the risks and benefits of specific antiepileptic drugs for the mother and the fetus is indicated. Documentation of these conversations is the medical record is needed. This record may be useful in court if legal action is initiated if a child has birth defects."
Infection,"An infectious basis for some cases of ASD is suggested by the large number of children with ASD born to women whocontracted rubella during pregnancy. This finding supports the hypothesis that this infection triggers a vulnerability to thedevelopment of ASD in the fetus."
Familial and genetic factors,"Familial and genetic factorsFamilial factors influence the risk for ASD. The rate of ASD in children born into families that already have a child with anautism spectrum disorder is as high as 18.7%, and the risk is twice as high in children born to families with 2 or morechildren with an ASD.[68] Girls born to a family that has a child with an ASD have 2.8 times the risk of having such adisorder.[68]Twin studies have demonstrated a moderate degree of genetic heritability for ASD,[69, 70, 71] with environment making asubstantial contribution to the development of these conditions in the study subjects.[71]Multiple family studies have suggested genetic components in many cases of ASD.[72, 61, 73] For example, someasymptomatic first-degree relatives of some probands with ASD have abnormalities in serotonin and other chemicals similarto the probands.Finding genetic bases for ASD is a promising research goal. Factor analysis of datasets from the Autism Genome Projecthas suggested linkage of a joint attention factor with 11q23 and of a repetitive sensory-motor behavior factor with 19q13.[74]While a third of monozygotic twins are concordant for ASD, dizygotic twins are concordant for autism at rates of 4-8%,[75]which is comparable to siblings. A focused neurogenetic evaluation of children with ASD yields a genetic disorder in twofifths of the children.[76] For example, mutations in the gene SHANK3 are associated with ASD.[77, 78]Fragile X syndrome, a subtype of ASD, can be identified through genetic testing.[79] Antagonists to metabotropic glutamatereceptors can reverse the symptoms in mouse models of fragile X syndrome.[80] Another subtype of ASD is tuberoussclerosis, a disorder with specific genetic mutations.[81, 82]"
Toxic exposure,"Toxic exposureExposures to toxins, chemicals, poisons, and other substances have been hypothesized to cause ASD.Roberts et al[83] and Samson[84] have reported an association between exposure to the organochlorine pesticides dicofoland endosulfan during the first trimester of pregnancy and the subsequent development of ASD in children. Potentialmothers can wisely be advised to avoid exposure to organochlorine pesticides.In parts of the world, exposure to specific toxins may influence local ASD rates. For example, the high incidence of ASD inareas of Japan has been hypothesized to be due to a toxic effect of certain fish. Although toxins may play a role in thedevelopment of isolated cases of ASD in Japan, they have not been proved to be generally causative of ASD there. Anotherpossible explanation for the high ASD rates in Japan is the excellent training of Japanese clinicians; low rates elsewheremay reflect the limited abilities of clinicians to diagnose ASD. emedicine.medscape.com/article/912781-print Some studies have documented associations between ASD and air pollution. One, from North Carolina found a link betweenexposure to traffic-related air pollution, particularly during the third trimester, to the development of ASD in offspring. Theseresults add to the evidence already provided by previous studies conducted in California.[85]Another study of children living in counties in Pennsylvania found that children with ASD were 1.4 to two times more likely tohave been exposed to higher levels of air pollution, especially the toxins styrene and chromium, during pregnancy and thefirst 2 years of life than children without the disorder.[86] Cyanide, methylene chloride, methanol, and arsenic were alsolinked to increased risk of ASD.[87]"
Parental age,"Parental ageMeta-analyses of epidemiologic studies have shown that ASD risk in offspring increases when the age of either parent is 35years or higher.[60] Sandin et al reported that, after controlling for paternal age, the adjusted relative risk for ASD was 1.52in the offspring of mothers aged 35 years or older compared with mothers aged 25–29 years.[88] Hultman et al found that,after controlling for maternal age, offspring of men aged 50 years or older were 2.2 times more likely to have ASD thanoffspring of men aged 29 years or younger.[89]"
Vaccination,"VaccinationSome children have developed ASD after immunizations, including inoculations for measles, mumps, and rubella. However,several population studies have demonstrated no association between childhood immunization and the development of ASDand related conditions.[90, 91, 92, 93, 94, 95]Thompson and colleagues detected no causal association between exposure to vaccines that contain thimerosal andneuropsychological deficits at age 7–10 years.[93] In fact, in early 2010, the Lancet retracted the 1998 article by Wakefieldet al that originally linked ASD with measles-mumps-rubella (MMR) vaccination, citing flaws in the study and 2 claims in itthat were ""proven to be false.""[94]Parents can permit the recommended childhood immunizations without fear of causing ASD and related conditions.Adherence to recommended immunization schedules, including immunization for measles, mumps, and rubella, is highlyrecommended.[95]"
Epidemiology,"EpidemiologyReported rates of autism spectrum disorder (ASD) have been rising in many countries over the past two decades.[96, 97]In 2021, the CDC released data showing a record-breaking increase in rates of autism since the organization began trackingthe disorder in 2000. Study authors with the CDC's Autism and Developmental Disabilities Monitoring (ADDM) Networkattribute this increase to improvements in diagnosis and identification of ASD and not necessarily to an increase inincidence. The researchers found that 2.3% of 8-year-olds in communities in 11 states across the United States had anautism diagnosis in 2018 (prevalence rate of 1 in 44 children), up from 1.9% in 2016.[98]Epidemiological studies of relatively uncommon conditions such as ASD are expensive. A suitable research strategy is theadministration of multiple screenings in a population, each time identifying more likely subjects for detailed investigation.For example, a reporting tool, such as the Autism Screening Checklist, can be distributed to all parents and guardians in atarget population. See the image below. emedicine.medscape.com/article/912781-print The significance of answers to individual Autism Screening Checklist items is as follows: Item 1- A ""yes"" occurs in healthychildren and children with some pervasive developmental disorders; a ""no"" occurs in children with autism, Rett syndrome,and other developmental disorders. Item 2 - A ""yes"" occurs in healthy children, not children with autism. Item 3 - A ""yes""occurs in healthy children and children with Asperger syndrome (ie, high-functioning autism); a ""no"" occurs in children withRett syndrome; children with autism may elicit a ""yes"" or a ""no""; some children with autism never speak; some childrenwith autism may develop speech normally and then experience a regression with the loss of speech. Item 4 - A ""yes""occurs in healthy children and children with Asperger syndrome and some other pervasive developmental disorders; a""no"" occurs in children with developmental disorders; children with autism may elicit a ""yes"" or a ""no."" Items 5-10 - Scoresof ""yes"" occur in some children with autism and in children with other disorders. Item 1 1 – A ""yes"" occurs in healthychildren; a ""no"" occurs in some children with autism and in children with other disorders. Items 12, 13 - Scores of ""yes""occur in some children with autism and in children with other disorders. Items 14-19 - Scores of ""yes"" occur in childrenwith schizophrenia and other disorders, not in children with autism, Asperger syndrome, or other autism spectrumdisorders. The higher the total score for items 5-10, 12, and 13 on the Autism Screening Checklist, the more likely thepresence of an autism spectrum disorder .The checklist identifies those children with characteristics of an ASD and differentiates them from children with child-onsetschizophrenia. (See History)."
Occurrence in the United States,"Occurrence in the United StatesEstimates of the prevalence of ASD suggest that as many as 400,000 individuals in the United States have ASD or a relatedcondition.The Autism and Developmental Disabilities Monitoring (ADDM) Network surveillance system provides estimates ofthe prevalence of ASD among children aged 8 years whose parents or guardians reside within 11 ADDM sites in the UnitedStates (Arizona, Arkansas, Colorado, Georgia, Maryland, Minnesota, Missouri, New Jersey, North Carolina, Tennessee, andWisconsin). The Network's 2018 report, based on 2014 data, shows the overall prevalence of ASD amongthe 11 ADDM sites was 16.8 per 1,000 (one in 59) children aged 8 years.[99]According to survey results from parents across the United States, 1 in 40 children (2.5%) has ASD, representing anestimated 1.5 million children ages 3 to 17 years[100]  an increase from 11 in 1000 in 2007.[101]"
International occurrence,"International occurrenceA global prevalence of 7.6 cases of ASD per 100 (1 in 132) was estimated on review of epidemiological studies.[102] ASDand related conditions are estimated to affect up to 10-15 people per 10,000 population worldwide. In a population-basedstudy of all 7- to 12-year-old children (N = 55,266) in a South Korean community, Kim et al estimated that the prevalence ofASD was 2.64%[103]Studies in Japan report much higher rates than are found in other countries.[104] Japanese investigators suggest that thesefindings reflect the careful evaluations performed by Japanese clinicians, which may identify cases that would be overlookedin other countries. Alternatively, ASD may be more common in Japan because of gastrointestinal and other infectionstransmitted through the ingestion of seafood and other aquatically derived foods that are characteristic of the Japanese diet. emedicine.medscape.com/article/912781-print"
Sex-related demographics,"Sex-related demographicsEstimates of the prevalence of ASD vary widely by sex. Combining data from all 11 Autism and Developmental DisabilitiesMonitoring (ADDM) Network communities, ASD prevalence was 26.6 per 1,000 boys and 6.6 per 1,000 girls (prevalenceratio: 4.0). ASD prevalence was significantly (p< 0.01) higher among boys than among girls in all 11 ADDM sites, with male-to-female prevalence ratios ranging from 3.2 (Arizona) to 4.9 (Georgia).[99]ASD is most common in boys who have the 46,XY karyotype (ie, the normal male karyotype). In some studies, fragile X isreported in approximately 10% males with autistic disorder.[105, 106, 107, 108, 109, 110]"
Prognosis,"PrognosisThe prognosis in patients with ASD is highly correlated with their IQ. Low-functioning patients may never live independently;they typically need home or residential care for the rest of their lives. High-functioning patients may live independently, holdjobs successfully, and even marry and have children. Remission of ASD has been described in anecdotal case reports.High-functioning individuals with ASD are similar to people with Asperger syndrome. Please refer to the MedscapeReference article Asperger Syndrome for further information and to learn more about high-functioning autism. Under thecurrent nomenclature Asperger syndrome is a subtype of ASD."
