The Arc of DeKalb County,Alabama,Fort Payne,DeKalb,"The Arc of DeKalb County
201 Grand Avenue S
Fort Payne, AL 35967
(205) 845-0165"
The Arc of Eastern Elmore County,Alabama,Wetumpka,Elmore,"The Arc of Eastern Elmore County
PO Box 847
Wetumpka, AL 36092-0015
(334) 514-0708"
The Arc of Franklin County,Alabama,Red Bay,Franklin,"The Arc of Franklin County
PO Box 1456
Red Bay, AL 35582-1456
(256) 356-8855"
The Arc of Geneva County,Alabama,Samson,Geneva,"The Arc of Geneva County
3052 Columbus Holley Rd
Samson, AL 36477-5256
donnallogan@yahoo.com
(334) 684-2252"
The Arc of Jackson County,Alabama,Scottsboro,Jackson,"The Arc of Jackson County
180 Mack Morris Dr
Scottsboro, AL 35769-7200
thearc_sara@scottsboro.org
(256) 259-1603"
The Arc of Jefferson County,Alabama,Birmingham,Jefferson County,"The Arc of Jefferson County
215 21st Ave S
Birmingham, AL 35205-6801
(205) 323-6383 Ext 100"
The Arc of Lawrence County,Alabama,Moulton,Lawrence,"The Arc of Lawrence County
PO Box 486
Moulton, AL 35650-0486
joycejeffreys@att.net
(256) 974-0496"
The Arc of Madison County,Alabama,Huntsville,Madison,"The Arc of Madison County
1100 Washington St NW
Huntsville, AL 35801-4678
(256) 539-2266"
The Arc of Morgan County,Alabama,Decatur,Morgan,"The Arc of Morgan County
401 14th St SE Ste 4E
Decatur, AL 35601-5941
mechelle0008@bellsouth.net
(256) 355-6192"
The Arc of North Talladega County,Alabama,Talladega,Talladega,"The Arc of North Talladega County
PO Box 853
Talladega, AL 35161-0853
(256) 362-8064"
The Arc of Shelby County,Alabama,Pelham,Shelby,"The Arc of Shelby County
203 Amphitheater Road
Pelham, AL 35124
info@thearcofshelby.org
(205) 664-9313"
The Arc of the Shoals,Alabama,Florence,Lauderdale,"The Arc of the Shoals
354 Parkwood Ct
Florence, AL 35634-2845
info@thearcoftheshoals.org
(256) 383-1472"
The Arc of Tuscaloosa County,Alabama,Tuscaloosa,Tuscaloosa,"The Arc of Tuscaloosa County
PO Box 40246
Tuscaloosa, AL 35404-0246
cmcduff@dbtech.net
(205) 556-4900"
The Arc of Walker County,Alabama,Jasper,Walker,"The Arc of Walker County
745 Russell Dairy Rd
Jasper, AL 35503-3551
lvick@walkerarc.com
(205) 387-0564"
The Arc St. Clair County,Alabama,Pell City,St. Clair,"The Arc St. Clair County
282 Chula Vista Dr
Pell City, AL 35125-6293
(205) 884-2680"
Winston Marion County Arc,Alabama,Haleyville,Winston,"Winston Marion County Arc
145 County Highway 76
Haleyville, AL 35565-3602
arc002@centurytel.net
(205) 486-2178"
name,state,city,county,contact info
Alabama Autism,Alabama,N/A,N/A,By Website
Arc Fayette Lamar,Alabama,Fayette,Fayette,"Arc Fayette Lamar
1428 Temple Ave S
Fayette, AL 35555-3111
(205) 932-8642"
Arc of The Chattahoochee Valley,Alabama,Valley,Chambers,"Arc of The Chattahoochee Valley
PO Box 416
Valley, AL 36854-0416
valleyhaven@charterinternet.com
(334) 756-2868"
ARC- Baldwin County,Alabama,Loxley,Baldwin,"ARC- Baldwin County
PO Box 400
Loxley, AL 36651
jsp36@bellsouth.net
(251) 964-4451"
Athens/Limestone Arc,Alabama,Athens,Limestone,"Athens/Limestone Arc
427 Rogers Street
Athens, AL 35611
twsaint@pcinet.net
(256) 233-2999"
Autism Alabama,Alabama,N/A,N/A,By Website
Autism Society of Alabama,Alabama,Birmingham,Jefferson County,"Autism Society of Alabama
4217 Dolly Ridge Road
Birmingham, AL 35243
877-428-8476"
AWE Arc Autauga and Western Elmore Counties,Alabama,Prattville,Autauga,"AWE Arc Autauga and Western Elmore Counties
PO Box 681952
Prattville, AL 36068-1952
smithcenteroffice@yahoo.com
(334) 365-4054"
Clarke County Arc,Alabama,Jackson,Clarke,"Clarke County Arc
PO Box 100
Jackson, AL 36545-0100
knelson@clarkearc.com
(251) 246-3000"
Marshall County Arc,Alabama,Guntersville,Marshall,"Marshall County Arc
5104 Porter Harvey Dr
Guntersville, AL 35976-6749
njkitchens@wildblue.net
(256) 582-5009"
Mobile Arc,Alabama,Mobile,Mobile,"Mobile Arc
2424 Gordon Smith Dr
Mobile, AL 36617-2319"
Montgomery Arc,Alabama,Montgomery,Montgomery,"Montgomery Arc
527 Buckingham Dr
Montgomery, AL 36116-2738
jmorris50@bellsouth.net
(334) 281-6938"
Randolph County Arc,Alabama,Roanoke,Randolph,"Randolph County Arc
PO Box 127
Roanoke, AL 36274-0127
rclc@teleclipse.net
(334) 863-8991"
South Talladega Arc,Alabama,Sylacauga,Talladega,"South Talladega Arc
PO Box 360
Sylacauga, AL 35150-0360
(256) 245-2323"
The Arc of Alabama,Alabama,Montgomery,Montgomery,"The Arc of Alabama
557 S. Lawrence St
Montgomery, AL 36104-4611
886-2439557"
The Arc of Calhoun-Cleburne Counties,Alabama,Anniston,Calhoun,"The Arc of Calhoun-Cleburne Counties
PO Box 1848
Anniston, AL 36202-1848
dotlovelidge@cableone.net
(256) 236-2857"
The Arc of Cullman County,Alabama,Cullman,Cullman,"The Arc of Cullman County
1807 Beech Ave SE
Cullman, AL 35055-5462
ccarc@bellsouth.com
(256) 737-1915"
The Arc of DeKalb County,Alabama,Fort Payne,DeKalb,"The Arc of DeKalb County
201 Grand Avenue S
Fort Payne, AL 35967
(205) 845-0165"
The Arc of Eastern Elmore County,Alabama,Wetumpka,Elmore,"The Arc of Eastern Elmore County
PO Box 847
Wetumpka, AL 36092-0015
(334) 514-0708"
The Arc of Franklin County,Alabama,Red Bay,Franklin,"The Arc of Franklin County
PO Box 1456
Red Bay, AL 35582-1456
(256) 356-8855"
The Arc of Geneva County,Alabama,Samson,Geneva,"The Arc of Geneva County
3052 Columbus Holley Rd
Samson, AL 36477-5256
donnallogan@yahoo.com
(334) 684-2252"
The Arc of Jackson County,Alabama,Scottsboro,Jackson,"The Arc of Jackson County
180 Mack Morris Dr
Scottsboro, AL 35769-7200
thearc_sara@scottsboro.org
(256) 259-1603"
The Arc of Jefferson County,Alabama,Birmingham,Jefferson County,"The Arc of Jefferson County
215 21st Ave S
Birmingham, AL 35205-6801
(205) 323-6383 Ext 100"
The Arc of Lawrence County,Alabama,Moulton,Lawrence,"The Arc of Lawrence County
PO Box 486
Moulton, AL 35650-0486
joycejeffreys@att.net
(256) 974-0496"
The Arc of Madison County,Alabama,Huntsville,Madison,"The Arc of Madison County
1100 Washington St NW
Huntsville, AL 35801-4678
(256) 539-2266"
The Arc of Morgan County,Alabama,Decatur,Morgan,"The Arc of Morgan County
401 14th St SE Ste 4E
Decatur, AL 35601-5941
mechelle0008@bellsouth.net
(256) 355-6192"
The Arc of North Talladega County,Alabama,Talladega,Talladega,"The Arc of North Talladega County
PO Box 853
Talladega, AL 35161-0853
(256) 362-8064"
The Arc of Shelby County,Alabama,Pelham,Shelby,"The Arc of Shelby County
203 Amphitheater Road
Pelham, AL 35124
info@thearcofshelby.org
(205) 664-9313"
The Arc of the Shoals,Alabama,Florence,Lauderdale,"The Arc of the Shoals
354 Parkwood Ct
Florence, AL 35634-2845
info@thearcoftheshoals.org
(256) 383-1472"
The Arc of Tuscaloosa County,Alabama,Tuscaloosa,Tuscaloosa,"The Arc of Tuscaloosa County
PO Box 40246
Tuscaloosa, AL 35404-0246
cmcduff@dbtech.net
(205) 556-4900"
The Arc of Walker County,Alabama,Jasper,Walker,"The Arc of Walker County
745 Russell Dairy Rd
Jasper, AL 35503-3551
lvick@walkerarc.com
(205) 387-0564"
The Arc St. Clair County,Alabama,Pell City,St. Clair,"The Arc St. Clair County
282 Chula Vista Dr
Pell City, AL 35125-6293
(205) 884-2680"
Winston Marion County Arc,Alabama,Haleyville,Winston,"Winston Marion County Arc
145 County Highway 76
Haleyville, AL 35565-3602
arc002@centurytel.net
(205) 486-2178"
name,state,city,county,contact info
Alabama Autism,Alabama,N/A,N/A,By Website
Arc Fayette Lamar,Alabama,Fayette,Fayette,"Arc Fayette Lamar
1428 Temple Ave S
Fayette, AL 35555-3111
(205) 932-8642"
Arc of The Chattahoochee Valley,Alabama,Valley,Chambers,"Arc of The Chattahoochee Valley
PO Box 416
Valley, AL 36854-0416
valleyhaven@charterinternet.com
(334) 756-2868"
ARC- Baldwin County,Alabama,Loxley,Baldwin,"ARC- Baldwin County
PO Box 400
Loxley, AL 36651
jsp36@bellsouth.net
(251) 964-4451"
Athens/Limestone Arc,Alabama,Athens,Limestone,"Athens/Limestone Arc
427 Rogers Street
Athens, AL 35611
twsaint@pcinet.net
(256) 233-2999"
Autism Alabama,Alabama,N/A,N/A,By Website
Autism Society of Alabama,Alabama,Birmingham,Jefferson County,"Autism Society of Alabama
4217 Dolly Ridge Road
Birmingham, AL 35243
877-428-8476"
AWE Arc Autauga and Western Elmore Counties,Alabama,Prattville,Autauga,"AWE Arc Autauga and Western Elmore Counties
PO Box 681952
Prattville, AL 36068-1952
smithcenteroffice@yahoo.com
(334) 365-4054"
Clarke County Arc,Alabama,Jackson,Clarke,"Clarke County Arc
PO Box 100
Jackson, AL 36545-0100
knelson@clarkearc.com
(251) 246-3000"
Marshall County Arc,Alabama,Guntersville,Marshall,"Marshall County Arc
5104 Porter Harvey Dr
Guntersville, AL 35976-6749
njkitchens@wildblue.net
(256) 582-5009"
Mobile Arc,Alabama,Mobile,Mobile,"Mobile Arc
2424 Gordon Smith Dr
Mobile, AL 36617-2319"
Montgomery Arc,Alabama,Montgomery,Montgomery,"Montgomery Arc
527 Buckingham Dr
Montgomery, AL 36116-2738
jmorris50@bellsouth.net
(334) 281-6938"
Randolph County Arc,Alabama,Roanoke,Randolph,"Randolph County Arc
PO Box 127
Roanoke, AL 36274-0127
rclc@teleclipse.net
(334) 863-8991"
South Talladega Arc,Alabama,Sylacauga,Talladega,"South Talladega Arc
PO Box 360
Sylacauga, AL 35150-0360
(256) 245-2323"
The Arc of Alabama,Alabama,Montgomery,Montgomery,"The Arc of Alabama
557 S. Lawrence St
Montgomery, AL 36104-4611
886-2439557"
The Arc of Calhoun-Cleburne Counties,Alabama,Anniston,Calhoun,"The Arc of Calhoun-Cleburne Counties
PO Box 1848
Anniston, AL 36202-1848
dotlovelidge@cableone.net
(256) 236-2857"
The Arc of Cullman County,Alabama,Cullman,Cullman,"The Arc of Cullman County
1807 Beech Ave SE
Cullman, AL 35055-5462
ccarc@bellsouth.com
(256) 737-1915"
The Arc of DeKalb County,Alabama,Fort Payne,DeKalb,"The Arc of DeKalb County
201 Grand Avenue S
Fort Payne, AL 35967
(205) 845-0165"
The Arc of Eastern Elmore County,Alabama,Wetumpka,Elmore,"The Arc of Eastern Elmore County
PO Box 847
Wetumpka, AL 36092-0015
(334) 514-0708"
The Arc of Franklin County,Alabama,Red Bay,Franklin,"The Arc of Franklin County
PO Box 1456
Red Bay, AL 35582-1456
(256) 356-8855"
The Arc of Geneva County,Alabama,Samson,Geneva,"The Arc of Geneva County
3052 Columbus Holley Rd
Samson, AL 36477-5256
donnallogan@yahoo.com
(334) 684-2252"
The Arc of Jackson County,Alabama,Scottsboro,Jackson,"The Arc of Jackson County
180 Mack Morris Dr
Scottsboro, AL 35769-7200
thearc_sara@scottsboro.org
(256) 259-1603"
The Arc of Jefferson County,Alabama,Birmingham,Jefferson County,"The Arc of Jefferson County
215 21st Ave S
Birmingham, AL 35205-6801
(205) 323-6383 Ext 100"
The Arc of Lawrence County,Alabama,Moulton,Lawrence,"The Arc of Lawrence County
PO Box 486
Moulton, AL 35650-0486
joycejeffreys@att.net
(256) 974-0496"
The Arc of Madison County,Alabama,Huntsville,Madison,"The Arc of Madison County
1100 Washington St NW
Huntsville, AL 35801-4678
(256) 539-2266"
The Arc of Morgan County,Alabama,Decatur,Morgan,"The Arc of Morgan County
401 14th St SE Ste 4E
Decatur, AL 35601-5941
mechelle0008@bellsouth.net
(256) 355-6192"
The Arc of North Talladega County,Alabama,Talladega,Talladega,"The Arc of North Talladega County
PO Box 853
Talladega, AL 35161-0853
(256) 362-8064"
The Arc of Shelby County,Alabama,Pelham,Shelby,"The Arc of Shelby County
203 Amphitheater Road
Pelham, AL 35124
info@thearcofshelby.org
(205) 664-9313"
The Arc of the Shoals,Alabama,Florence,Lauderdale,"The Arc of the Shoals
354 Parkwood Ct
Florence, AL 35634-2845
info@thearcoftheshoals.org
(256) 383-1472"
The Arc of Tuscaloosa County,Alabama,Tuscaloosa,Tuscaloosa,"The Arc of Tuscaloosa County
PO Box 40246
Tuscaloosa, AL 35404-0246
cmcduff@dbtech.net
(205) 556-4900"
The Arc of Walker County,Alabama,Jasper,Walker,"The Arc of Walker County
745 Russell Dairy Rd
Jasper, AL 35503-3551
lvick@walkerarc.com
(205) 387-0564"
The Arc St. Clair County,Alabama,Pell City,St. Clair,"The Arc St. Clair County
282 Chula Vista Dr
Pell City, AL 35125-6293
(205) 884-2680"
Winston Marion County Arc,Alabama,Haleyville,Winston,"Winston Marion County Arc
145 County Highway 76
Haleyville, AL 35565-3602
arc002@centurytel.net
(205) 486-2178"
