name,city,country,address,latitude,longitude,info,free_quote_link
NP Istanbul Brain Hospital,Istanbul,Turkey,",Ahmet Tevfik İleri Cadde, 18,, 34768, Saray",41.0288759,29.114198,"92% patients recommend, Top clinic for Autism treatment, Top Patient’s Choice, 116 patients chose clinic for Autism Treatment",https://us-uk.bookimed.com/order/?clinicId=889&type=messenger-priority&button=listing-main-btn&illnessId=155
Emsey Hospital,Istanbul,Turkey,",Selçuklu Cadde, 22,, 34912, Çamlık",40.9236875,29.2888279,"75% patients recommend, 37 patients chose clinic for Autism Treatment",https://us-uk.bookimed.com/order/?clinicId=1173&type=messenger-priority&button=listing-main-btn&illnessId=155
Udensroze Clinic,Jūrmala,Latvia,",Dubultu prospekts, 30,,,,",56.967366,23.76708,66% patients recommend,https://us-uk.bookimed.com/order/?clinicId=213&type=messenger-priority&button=listing-main-btn&illnessId=155
Moodist Psychiatry and Neurology Hospital,Istanbul,Turkey,",Çeçen Sok, 52,, 34660, Acıbadem",41.0022045,29.0532809,92% patients recommend,https://us-uk.bookimed.com/order/?clinicId=4866&type=messenger-priority&button=listing-main-btn&illnessId=155
Medipol Bahçelievler Hospital,Istanbul,Turkey,",Fatih Cadde, 1,, 34196, Çobançeşme",40.9984247,28.8303657,92% patients recommend,https://us-uk.bookimed.com/order/?clinicId=4904&type=messenger-priority&button=listing-main-btn&illnessId=155
Reyap Hospital,Istanbul,Turkey,",2011 Sk, 25,, 34515, Yeşilkent",41.0259678,28.6594845,100% patients recommend,https://us-uk.bookimed.com/order/?clinicId=2736&type=messenger-priority&button=listing-main-btn&illnessId=155
Private Koru Ankara Hospital,Ankara,Turkey,",1450 Sk, 13,, 06510, Kızılırmak",39.90250522308492,32.812086115869164,92% patients recommend,https://us-uk.bookimed.com/order/?clinicId=3887&type=messenger-priority&button=listing-main-btn&illnessId=155
Adatip Hospital,Istanbul,Turkey,",Şht. Mehmet Karabaşoğlu Cadde, 67,, 54050, İstiklal",40.775965,30.3539208,92% patients recommend,https://us-uk.bookimed.com/order/?clinicId=4250&type=messenger-priority&button=listing-main-btn&illnessId=155
Derindere Hospital,Istanbul,Turkey,",Burcu Sokak, 9,, 34406, Merkez Mahallesi",41.0827243,28.9708384,92% patients recommend,https://us-uk.bookimed.com/order/?clinicId=1338&type=messenger-priority&button=listing-main-btn&illnessId=155
"Aster Hospitals, DUBAI",Dubai,UAE,",Al Mankhool Road, 127,,,,",25.2482049,55.2867159,"90% patients recommend, Top clinic for Autism treatment, Top Patient’s Choice, 2 patients chose clinic for Autism Treatment",https://us-uk.bookimed.com/order/?clinicId=1447&type=messenger-priority&button=listing-main-btn&illnessId=155
Private Optimed Hospital,Istanbul,Turkey,",Cadde, 2,, 59500, Gazi Mustafa Kemalpaşa",41.2976209,27.9964183,92% patients recommend,https://us-uk.bookimed.com/order/?clinicId=1028&type=messenger-priority&button=listing-main-btn&illnessId=155
MedConsult Bangkok Medical Clinic,Bangkok,Thailand,",Sukhumvit 49/9 Alley, 7,, 10110, Khwaeng Khlong Tan Nuea",13.736312921223,100.57663074551,92% patients recommend,https://us-uk.bookimed.com/order/?clinicId=1145&type=messenger-priority&button=listing-main-btn&illnessId=155
Vitality Medical & Research Center,Kyiv,Ukraine,",Kyivska Street, 115A,, Obukhiv",50.129579,30.655172,100% patients recommend,https://us-uk.bookimed.com/order/?clinicId=768&type=messenger-priority&button=listing-main-btn&illnessId=155
Etablissement Hospitalier Spécialisé (EHS) de Chéraga,Alger,Algeria,",ute de Zeralda,,,, Chéraga",36.766321,2.9505803,publics,
Centre National de Psychiatrie Infantile (CNPI) de Ben Aknoun,Alger,Algeria,",Chemin du Prince,,,, Ben Aknoun",36.716667,3.066667,publics,
Hôpital psychiatrique de Blida,Blida,Algeria,",Route de Soumaa,,,,,",36.483333,2.833333,publics,
EHS d'Oran, Oran,Algeria,",Usto Hai Essabah,,,,,",35.6991305,-0.5854874,publics,
Cabinet Psychologie Clinique Et Neuropsychologie ,Oran,Algeria,",,,,,, Bir El Djir",35.7233164,-0.5820272,private,
CMP de Constantine,Constantine,Algeria,",Cité Daksi,,,,,,",36.3558648,6.6264629,publics,
