name,state,city,county,contact info
The Arc of Franklin County,Alabama,Red Bay,Franklin,"The Arc of Franklin County
PO Box 1456
Red Bay, AL 35582-1456
(256) 356-8855"
The Arc of Geneva County,Alabama,Samson,Geneva,"The Arc of Geneva County
3052 Columbus Holley Rd
Samson, AL 36477-5256
donnallogan@yahoo.com
(334) 684-2252"
The Arc of Jackson County,Alabama,Scottsboro,Jackson,"The Arc of Jackson County
180 Mack Morris Dr
Scottsboro, AL 35769-7200
thearc_sara@scottsboro.org
(256) 259-1603"
The Arc of Jefferson County,Alabama,Birmingham,Jefferson County,"The Arc of Jefferson County
215 21st Ave S
Birmingham, AL 35205-6801
(205) 323-6383 Ext 100"
The Arc of Lawrence County,Alabama,Moulton,Lawrence,"The Arc of Lawrence County
PO Box 486
Moulton, AL 35650-0486
joycejeffreys@att.net
(256) 974-0496"
The Arc of Madison County,Alabama,Huntsville,Madison,"The Arc of Madison County
1100 Washington St NW
Huntsville, AL 35801-4678
(256) 539-2266"
The Arc of Morgan County,Alabama,Decatur,Morgan,"The Arc of Morgan County
401 14th St SE Ste 4E
Decatur, AL 35601-5941
mechelle0008@bellsouth.net
(256) 355-6192"
The Arc of North Talladega County,Alabama,Talladega,Talladega,"The Arc of North Talladega County
PO Box 853
Talladega, AL 35161-0853
(256) 362-8064"
The Arc of Shelby County,Alabama,Pelham,Shelby,"The Arc of Shelby County
203 Amphitheater Road
Pelham, AL 35124
info@thearcofshelby.org
(205) 664-9313"
The Arc of the Shoals,Alabama,Florence,Lauderdale,"The Arc of the Shoals
354 Parkwood Ct
Florence, AL 35634-2845
info@thearcoftheshoals.org
(256) 383-1472"
The Arc of Tuscaloosa County,Alabama,Tuscaloosa,Tuscaloosa,"The Arc of Tuscaloosa County
PO Box 40246
Tuscaloosa, AL 35404-0246
cmcduff@dbtech.net
(205) 556-4900"
The Arc of Walker County,Alabama,Jasper,Walker,"The Arc of Walker County
745 Russell Dairy Rd
Jasper, AL 35503-3551
lvick@walkerarc.com
(205) 387-0564"
The Arc St. Clair County,Alabama,Pell City,St. Clair,"The Arc St. Clair County
282 Chula Vista Dr
Pell City, AL 35125-6293
(205) 884-2680"
Winston Marion County Arc,Alabama,Haleyville,Winston,"Winston Marion County Arc
145 County Highway 76
Haleyville, AL 35565-3602
arc002@centurytel.net
(205) 486-2178"
Alaska Autism Resource Center,Alaska,Anchorage,Anchorage,"Alaska Autism Resource Center
3501 Denali Street
Suite 101
Anchorage, AK 99503
866-301-7372"
Alaska Division of Public Health,Alaska,Anchorage,Anchorage,800-799-7570
Alaska Resource for Educators and Parents,Alaska,N/A,N/A,By Website
The Arc of Anchorage,Alaska,Anchorage,Anchorage,"The Arc of Anchorage
2211 Arca Dr
Anchorage, AK 99508-3462
info@thearcofanchorage.org
(907) 777-0127"
Arizona Autism Resource,Arizona,Phoenix,Maricopa,"Arizona Autism Resource
1535 West Jefferson
Phoenix, AZ 85007
602-542-3084"
Chandler-Gilbert Arc,Arizona,Chandler,Maricopa,"Chandler-Gilbert Arc
3250 N San Marcos Pl
Chandler, AZ 85225-7789
cgarc@cgarc.org
(480) 892-9422"
Douglas Arc,Arizona,Douglas,Cochise,"Douglas Arc
PO Box 252
Douglas, AZ 85608-0252
douglasarc@theriver.com
(520) 364-7473"
Gila County Arc,Arizona,Globe,Gila,"Gila County Arc
PO Box 1262
Globe, AZ 85502-1262
dlc@cybertrails.com
(928) 425-6053"
Mohave County Arc,Arizona,Kingman,Mohave,"Mohave County Arc
2050 Airway Ave
Kingman, AZ 86409-3643
mohavecountyarc@yahoo.com
(928) 757-1758"
Northeastern Pinal County Arc,Arizona,Kearny,Pinal,"Northeastern Pinal County Arc
PO Box 535
Kearny, AZ 85137-0110
(520) 363-5581"
S.E.E.K Arizona,Arizona,Mesa,Maricopa,"S.E.E.K Arizona
1830 S Alma School Road
Suite 130
Mesa, AZ 85210
480-902-0771"
Santa Cruz County Arc,Arizona,Nogales,Santa Cruz,"Santa Cruz County Arc
PO Box 972
Nogales, AZ 85628-0972
marina.galhouse@gmail.com
(520) 287-3756"
Southwest Autism Research & Resource Center,Arizona,Phoenix,Maricopa,"Southwest Autism Research & Resource Center
300 N. 18th Street
Phoenix, AZ 85006
602-340-8717"
Spectrum College Transition Program,Arizona,Arizona,N/A,By Website
The Arc of Arizona,Arizona,Phoenix,Maricopa,"The Arc of Arizona
5610 S Centeral Ave
Phoenix, AZ 85040
877-574-3033"
The Arc of Tempe,Arizona,Tempe,Maricopa,"The Arc of Tempe
PO Box 26014
Tempe, AZ 85285-6014
exec@tempearc.org
(480) 966-8536"
The Arc of Tucson,Arizona,Tucson,Pima,"The Arc of Tucson
PO Box 44324
Tucson, AZ 85733-4324
(520) 570-1295"
The Arc of Yuma County,Arizona,Yuma,Yuma,"The Arc of Yuma County
PO Box 6830
Yuma, AZ 85366-2539
rockellm@roadrunner.com
(928) 314-0154"
YES The Arc,Arizona,Cottonwood,Yavapai,"YES The Arc
PO Box 1061
Cottonwood, AZ 86326-1061
yesthearc@yesthearc.com
(928) 634-2049"
Arkansas Autism Resources,Arkansas,North Little Rock,Pulaski,"Arkansas Autism Resources
2001 Pershing Circle
Suite 300
North Little Rock, AR 72114
501 -682-9900"
Autism Speaks Arkansas,Arkansas,N/A,N/A,By Website
Eye Contact Arkansas,Arkansas,N/A,N/A,By Website
Sevier County Arc,Arkansas,De Queen,Sevier,"Sevier County Arc
715 W Stillwell Ave
De Queen, AR 71832-2707
(870) 642-6077"
The Arc Arkansas,Arkansas,Little Rock,Pulaski,thearcarkansas@arcark.org
The Arc for the River Valley,Arkansas,Fort Smith,Sebastian,"The Arc for the River Valley
2301 S 56th St Ste 107
Fort Smith, AR 72903-3710
arcrivervalley@gmail.com
(479) 783-5529"
Alpha Resource Center of Santa Barbara,California,Santa Barbara,Santa Barbara,"Alpha Resource Center of Santa Barbara
4501 Cathedral Oaks Rd
Santa Barbara, CA 93110-1340
(805) 683-2145"
Arc – Imperial Valley,California,El Centro,Imperial,"Arc – Imperial Valley
PO Box 1828
El Centro, CA 92244-1828
arcinfo@arciv.org
(760) 352-0180"
Arc – San Bernadino Area,California,San Bernadino,San Bernadino,"Arc – San Bernadino Area
796 E 6th St
San Bernardino, CA 92410-4532
arcschoolofhope@verizon.net
(909) 884-6484"
Arc – South Bay,California,Gardena,Los Angeles,"Arc – South Bay
1735 W Rosecrans Ave
Gardena, CA 90249-3023
arcsobay@arcsobay.org
(310) 532-6333"
Arc San Joaquin,California,Stockton,San Joaquin,"Arc San Joaquin
807 N San Joaquin St Ste 101
Stockton, CA 95202-1701
annar@arc-sj.org
(209) 955-1625"
Autism Speaks California,California,N/A,N/A,By Website
BARC,California,Bakersfield,Kern,"BARC
2240 S Union Ave
Bakersfield, CA 93307-4158
BARC@barc-inc.org
(661) 834-2272"
California Autism Resources,California,N/A,N/A,By Website
Desert Arc,California,Palm Desert,Riverside,"Desert Arc
73255 Country Club Dr
Palm Desert, CA 92260-2309
rbalocco@desertarc.org
(760) 346-1611"
Desert Area Resources and Training,California,Ridgecrest,Kern,"Desert Area Resources and Training
201 E Ridgecrest Blvd
Ridgecrest, CA 93555-3919
dart@dartontarget.org
(760) 375-9787"
Easter Seals Of Northern California,California,N/A,N/A,By Website
Exceptional Parents Unlimited (EPU),California,California,N/A,By Website
Pacific Autism Center for Education (PACE),California,Santa Clara,Santa Clara,"Santa Clara, California 95050
admin@pacificautism.org"
Placer ARC,California,Roseville,Placer,"Placer ARC
522 Vernon St
Roseville, CA 95678-2639
barbarag@placerarc.org
(916) 781-3016"
Self Esteem Education and Development in Sexuality (SEEDS),California,California,N/A,By Website
The Arc – Solano,California,Vallejo,Solano,"The Arc – Solano
PO Box 4119
Vallejo, CA 94590-0411
thearcsolano@email.com
(707) 552-2935"
The Arc – Taft,California,Taft,Kern,"The Arc – Taft
214 Van Buren St
Taft, CA 93268-1813
(661) 763-1532"
The Arc Fresno,California,Fresno,Fresno,"The Arc Fresno
4567 N Marty Ave Ste 101
Fresno, CA 93722-7810
(559) 226-6268"
The Arc of Alameda County,California,San Leandro,Alameda,"The Arc of Alameda County
14700 Doolittle Dr
San Leandro, CA 94577-6619
ronluter@arcalameda.org
(510) 357-3569"
The Arc of Butte County,California,Chico,Butte,"The Arc of Butte County
2030 Park Ave
Chico, CA 95928-6701
(530) 891-5865"
The Arc Of California,California,Sacramento,Sacramento,"The Arc Of California
1225 8th Street
Suite 350
Sacramento, CA 95814
916-552-6619"
The Arc of Los Angeles and Orange Counties,California,Downey,Los Angeles,"The Arc of Los Angeles and Orange Counties
12049 Woodruff Ave
Downey, CA 90241-5603
admin@arcselac.org
(562) 803-4606"
The Arc of Riverside County,California,Riverside,Riverside,"The Arc of Riverside County
8138 Mar Vista Ct
Riverside, CA 92504-4324
Ewhitt@arcriverside.org
(951) 688-5141"
The Arc of San Diego,California,San Diego,San Diego,"The Arc of San Diego
3030 Market St
San Diego, CA 92102-3230
info@arc-sd.com
(619) 685-1175"
The Arc of Ventura County,California,Ventura,Ventura,"The Arc of Ventura County
5103 Walker St
Ventura, CA 93003-7358
(805) 650-8611"
The Arc San Francisco,California,San Francisco,San Francisco,"The Arc San Francisco
1500 Howard St
San Francisco, CA 94103-2525
eclobucker@thearcsf.org
(415) 255-7200"
ADVOCACY Denver,Colorado,Denver,Denver,"ADVOCACY Denver
1905 Sherman St Ste 300
Denver, CO 80203-1142
sgottlieb@advocacydenver.org
(303) 831-7733"
Autism Society of Colorado,Colorado,Lakewood,Jefferson,"Autism Society of Colorado
550 S. Wadsworth Blvd.
Suite 100
Lakewood, CO 80226
720-714-0794"
Autism Speaks Colorado Resources,Colorado,Colorado Springs,El Paso,"Autism Speaks Colorado Resources
1330 Quail Lake Loop
Suite 120
Colorado Springs, CO 80906
719-924-4533"
"The Arc – Jefferson, Clear Creek & Gilpin Counties",Colorado,Lakewood,Jefferson,"The Arc – Jefferson, Clear Creek & Gilpin Counties
8725 W 14th Ave Ste 100
Lakewood, CO 80215-4849
info@arcjc.org
(303) 232-1338"
The Arc Arapahoe & Douglas Counties,Colorado,Centennial,Arapahoe,"The Arc Arapahoe & Douglas Counties
8100 E Arapahoe Rd Unit 208
Centennial, CO 80112-1395
kstahlman@msn.com
(303) 220-9228"
The Arc Mesa County,Colorado,Grand Junction,Mesa,"The Arc Mesa County
PO Box 2292
Grand Jct, CO 81502-2292
arcmesa@aol.com
(970) 245-5775"
The Arc of Adams County,Colorado,Northglenn,Adams,"The Arc of Adams County
641 E 112th Ave
Northglenn, CO 80233-3013
info@arcadams.org
(303) 428-0310"
The Arc of Aurora,Colorado,Aurora,Arapahoe,"The Arc of Aurora
1342 S Chambers Rd
Aurora, CO 80017-4045
JSARCAURORA@aol.com
(720) 213-1420"
The Arc of Colorado,Colorado,Denver,Denver,"The Arc of Colorado
1580 Logan Street
Suite 730
Denver, CO 80203
303-864-9334 Ext. 11"
The Arc of Larimer County,Colorado,Fort Collins,Larimer,"The Arc of Larimer County
109 Coronado Ct Bldg 7
Fort Collins, CO 80525-4929
wrobinsonarc@gmail.com
(970) 204-6991 Ext 109"
The Arc of Pueblo,Colorado,Pueblo,Pueblo,"The Arc of Pueblo
2705 Vinewood Ln
Pueblo, CO 81005-3087
connie@thearcppr.org
(719) 545-5845"
The Arc of the Pikes Peak Region,Colorado,Colorado Springs,El Paso,"The Arc of the Pikes Peak Region
12 N Meade Ave
Colorado Spgs, CO 80909-5634
connie@thearcppr.org
(719) 471-4800"
The Arc of Weld County,Colorado,Evans,Weld,"The Arc of Weld County
3700 Golden St
Evans, CO 80620-2724
arc@arcweldcounty.org
(970) 353-5219"
The Association for Community Living in Boulder County,Colorado,Longmont,Boulder,"The Association for Community Living in Boulder County
5744 N 71st St
Longmont, CO 80503-8623
info@aclboulder.org
(303) 527-0888"
Autism in Connecticut,Connecticut,N/A,N/A,By Website
Autism Society Of Connecticut,Connecticut,Guilford,New Haven,By Website
Connecticut Autism Resources,Connecticut,N/A,N/A,By Website
Connecticut Autism Spectrum Resource Center,Connecticut,Wallingford,New Haven,203-265-7717
Connecticut Families for Effective Autism Treatment,Connecticut,West Hartford,Hartford,860-571-3888
DDS: Autism and Family Support,Connecticut,Hartford,Hartford,866-737-0330
Friends of New Milford,Connecticut,New Milford,Litchfield,"Friends of New Milford
238 Chestnut Land Rd
New Milford, CT 06776-2521
friends@friendsofnm.org
(860) 355-5343"
Litchfield County Arc,Connecticut,Torrington,Litchfield,"Litchfield County Arc
314 Main St
Torrington, CT 06790-5055
larc@litchfieldarc.org
(860) 482-9364"
"MARC, Inc. of Manchester",Connecticut,Manchester,Hartford,"MARC, Inc. of Manchester
376R Middle Tpke W
Manchester, CT 06040-3824
info@marcct.org
(860) 646-5718"
MARC: Community Resources,Connecticut,Middletown,Middlesex,"MARC: Community Resources
124 Washington St
Middletown, CT 06457-2820
liz.warner@marc-cr.org
(860) 342-0700"
Sarah Seneca Residential Services,Connecticut,Branford,New Haven,"Sarah Seneca Residential Services
11 Business Park Dr Ste 1
Branford, CT 06405-2963
sarahseneca@serahseneca.org
(203) 315-3770"
"Sarah Tuxis Residential Services, Inc.",Connecticut,Guilford,New Haven,"Sarah Tuxis Residential Services, Inc.
45 Boston St
Guilford, CT 06437-2816
Tuxis@cshore.com
(203) 458-8532"
"STAR, Inc., Lighting the Way",Connecticut,Norwalk,Fairfield,"STAR, Inc., Lighting the Way
182 Wolfpit Ave
Norwalk, CT 06851-3436
mjohnson@starinconline.com
(203) 846-9581"
The Arc of Connecticut,Connecticut,Hartford,Hartford,860-246-6400
The Arc of Meriden-Wallingford,Connecticut,Meriden,New Haven,"The Arc of Meriden-Wallingford
200 Research Pkwy
Meriden, CT 06450-7171
info@mwsinc.org
(203) 237-9975"
The Arc of New London County,Connecticut,Norwich,New London,"The Arc of New London County
125 Sachem St
Norwich, CT 06360-4128
KStauffer@thearcnlc.org
(860) 889-4435"
The Arc of Quinebaug Valley,Connecticut,Danielson,Windham,"The Arc of Quinebaug Valley
687 Cook Hill Rd.
Danielson, CT 06239
smr@qvarc.org
(860) 774-2827"
The Arc of Southington,Connecticut,Plantsville,Hartford,"The Arc of Southington
201 W Main St
Plantsville, CT 06479-1131
chapsonme@yahoo.com
(860) 628-9220 Ext 140"
The Arc of the Farmington Valley,Connecticut,Canton,Hartford,"The Arc of the Farmington Valley
225 Commerce Dr
Canton, CT 06019-2478
rcipolla@favarh.org
(860) 693-6662"
Tri-County Arc,Connecticut,Columbia,Tolland,"Tri-County Arc
65 Route 66 E
Columbia, CT 06237-1235
info@tri-countyarc.org
(860) 228-2070 Ext 103"
Waterbury Arc,Connecticut,Waterbury,New Haven,"Waterbury Arc
1929 E Main St
Waterbury, CT 06705-1851
dvitarelli@waterburyarc.org
(203) 575-0707"
WeCAHR,Connecticut,Danbury,Fairfield,"WeCAHR
211 Main St
Danbury, CT 06810-6657
(203) 792-3540"
Autism and Aspergers Resources,Delaware,Dover,Kent,By Website
Autism Delaware,Delaware,Newark,New Castle,302-224-6020
Autism Speaks Delaware,Delaware,N/A,N/A,By Website
Easter Seals Delaware,Delaware,N/A,N/A,800-677-3800
The Arc of Delaware,Delaware,Wilmington,New Castle,302-996-9400
Autism Society District Of Columbia,District of Columbia,District of Columbia,N/A,301-657-0881
DC Partners in Transition,District of Columbia,District of Columbia,N/A,By Website
Easter Seals Greater Washington-Baltimore Region,District of Columbia,District of Columbia,N/A,800-886-8771
The Arc of the District of Columbia,District of Columbia,District of Columbia,N/A,202-636-2950
Washington DC Autism Resources,District of Columbia,District of Columbia,N/A,By Website
Abilities Resource Center of Indian River County,Florida,Vero Beach,Indian River,"Abilities Resource Center of Indian River County
1375 16th Ave
Vero Beach, FL 32960-3768
charlesb@arcir.org
(561) 562-6854"
Arc Desoto,Florida,Arcadia,DeSoto,"Arc Desoto
PO Box 1001
Arcadia, FL 34265-1001
(863) 494-2328"
Arc Flagler County,Florida,Palm Coast,Flagler,"Arc Flagler County
PO Box 354412
Palm Coast, FL 32135-4412
ppearson1@mindspring.com
(386) 446-2385"
ARC Gateway,Florida,Pensacola,Escambia,"ARC Gateway
3932 N 10th Ave
Pensacola, FL 32503-2807
aneumann@arc-gateway.org
(850) 434-2638"
Autism Speaks Florida,Florida,N/A,N/A,By Website
Center for Autism,Florida,Tallahassee,Leon,800-769-7926
Florida Autism Resources,Florida,N/A,N/A,By Website
Horizons of Okaloosa County,Florida,Fort Walton Beach,Okaloosa,"Horizons of Okaloosa County
123 Truxton Ave
Ft Walton Bch, FL 32547-2460
tmallini@cox.net
(850) 863-1530"
Jackson County Arc,Florida,Marianna,Jackson,"Jackson County Arc
2973 Pennsylvania Ave
Marianna, FL 32448-2713
tmallini@cox.net
(850) 526-2311"
"LARC, Inc.",Florida,Fort Myers,Lee,"LARC, Inc.
2570 Hanson St
Fort Myers, FL 33901-7408
info@larcleecounty.org
(239) 334-6285"
Levy County Arc,Florida,Otter Creek,Levy,"Levy County Arc
PO Box 86
Otter Creek, FL 32683-0086
(352) 486-4293"
Ridge Area Arc,Florida,Avon Park,Highlands,"Ridge Area Arc
120 W College Dr
Avon Park, FL 33825-9348
rbeckman@ridgeareaarc.org
(863) 452-1295"
SunriseArc,Florida,Leesburg,Lake,"SunriseArc
35201 Radio Rd # B
Leesburg, FL 34788-3148
Information@SunriseArc.org
(352) 787-3079"
The Arc Big Bend Inc.,Florida,Madison,Madison,"The Arc Big Bend Inc.
PO Box 912
Madison, FL 32341-0912
t.ressler@earthlink.net
(850) 973-4614"
The Arc Jacksonville,Florida,Jacksonville,Duval,"The Arc Jacksonville
1050 N Davis St
Jacksonville, FL 32209-6808
rmcalee.arcjax@gmail.com
(904) 355-0155"
The Arc Nature Coast,Florida,Brooksville,Hernando,"The Arc Nature Coast
5283 Neff Lake Rd
Brooksville, FL 34601-8018
(352) 544-2322"
The Arc North Florida,Florida,Live Oak,Suwannee,"The Arc North Florida
511 Goldkist Blvd SW
Live Oak, FL 32064-4980
blake@arcnfl.com
(386) 362-7143"
The Arc of Alachua County,Florida,Gainesville,Alachua,"The Arc of Alachua County
3303 NW 83rd St
Gainesville, FL 32606-6227
bharned@arcalachua.org
(352) 334-4060"
The Arc of Bradford County,Florida,Starke,Bradford,"The Arc of Bradford County
1351 S Water St
Starke, FL 32091-4506
sherry@arcbradford.org
(904) 964-7699"
The Arc of Charlotte County,Florida,Port Charlotte,Charlotte,"The Arc of Charlotte County
PO Box 495021
Pt Charlotte, FL 33949-5021
dmsloan28@comcast.net
(941) 627-8771"
The Arc of Florida,Florida,Tallahassee,Leon,800-226-1155
The Arc of Palm Beach County,Florida,Riviera Beach,Palm Beach,"The Arc of Palm Beach County
1201 Australian Ave
Riviera Beach, FL 33404-6635
(561) 842-3213"
The Arc of Putnam County,Florida,Palatka,Putnam,"The Arc of Putnam County
1209 Westover Dr
Palatka, FL 32177-5329
frontdesk.arc@gmail.com
(386) 325-2249 Ext 202"
The Arc of South Florida,Florida,Miami,Miami-Dade,"The Arc of South Florida
5555 Biscayne Blvd
Miami, FL 33137-2656
arcsofla@aol.com
(305) 759-8500"
The Arc of St. Lucie County,Florida,Fort Pierce,St. Lucie,"The Arc of St. Lucie County
PO Box 1016
Fort Pierce, FL 34954-1016
slarc@gate.net
(772) 468-7879 Ext 8"
The Arc of the Glades,Florida,Belle Glade,Palm Beach,"The Arc of the Glades
4250 NW 16th St
Belle Glade, FL 33430-5962
arcglades@yahoo.com
(561) 996-9583"
The Arc of the St. Johns,Florida,St. Augustine,St. Johns,"The Arc of the St. Johns
2101 Arc Dr
St Augustine, FL 32084-0512
info@arcsj.org
(904) 824-7249 Ext 15"
The Arc of Volusia,Florida,Daytona Beach,Volusia,"The Arc of Volusia
PO Box 9658
Daytona Beach, FL 32120-9658
patarcv@cfl.rr.com
(386) 274-4736"
The Arc of Washington-Holmes Counties,Florida,Chipley,Washington,"The Arc of Washington-Holmes Counties
1335 South Blvd
Chipley, FL 32428-2219
sandywpritchard@bellsouth.net
(850) 638-7517"
The Arc Santa Rosa,Florida,Milton,Santa Rosa,"The Arc Santa Rosa
6225 Dixie Rd
Milton, FL 32570-6558
smith_pas@bellsouth.net
(850) 623-9320"
The Arc Suncoast,Florida,New Port Richey,Pasco,"The Arc Suncoast
8726 Old County Rd 54
New Port Richey, FL 34653
(727) 376-2777"
UPARC,Florida,Clearwater,Pinellas,"UPARC
1501 N Belcher Rd Ste 249
Clearwater, FL 33765-1300
uparcbev@yahoo.com
(727) 799-3330"
"Victory Living Programs, Inc.",Florida,Fort Lauderdale,Broward,"Victory Living Programs, Inc.
1001 W Cypress Creek Rd Ste 400
Ft Lauderdale, FL 33309-1951
bwigand@victoryliving.org
(954) 616-1074"
Walton County Arc,Florida,Defuniak Springs,Walton,"Walton County Arc
PO Box 813
Defuniak Spgs, FL 32435-0813
kim@panhandle.rr.com
(850) 892-5013"
"Albany Advocacy Resource Center, Inc.",Georgia,Albany,Dougherty,"Albany Advocacy Resource Center, Inc.
2616 Pointe North Blvd
Albany, GA 31721-1526
abowling@albanygaarc.org
(229) 888-6852"
Arc of Walker County,Georgia,La Fayette,Walker,"Arc of Walker County
PO Box 438
La Fayette, GA 30728-0438
Arcwalker@windstream.net
(706) 638-0962"
Autism Resources in Georgia,Georgia,N/A,N/A,By Website
Autism Society of Georgia,Georgia,Suwanee,Gwinnett,770-904- 4474
Autism Speaks of Georgia,Georgia,N/A,N/A,By Website
Easter Seals North Georgia,Georgia,Atlanta,DeKalb,404-943-1070
Georgia Autism Resources,Georgia,N/A,N/A,By Website
Irwin County Arc,Georgia,Ocilla,Irwin,"Irwin County Arc
PO Box 614
Ocilla, GA 31774-0614
icrcc@windstream.net
(229) 468-9886"
Stephens County Arc,Georgia,Toccoa,Stephens,"Stephens County Arc
PO Box 536
Toccoa, GA 30577-1409
dedoe@windstream.net
(706) 886-9556"
The Arc Macon,Georgia,Macon,Bibb,"The Arc Macon
4664 Sheraton Dr
Macon, GA 31210-1322
aharrell@maconarc.org
(478) 477-7764"
The Arc of Bleckley County,Georgia,Cochran,Bleckley,"The Arc of Bleckley County
PO Box 496
Cochran, GA 31014-0496
Jsapp108@bellsouth.net
(478) 934-3578"
The Arc of Brooks County,Georgia,Quitman,Brooks,"The Arc of Brooks County
1200 West Rountree
Quitman, GA 31643
linda7626@windstream.net
(229) 263-9302"
The Arc of Clayton County,Georgia,Jonesboro,Clayton,"The Arc of Clayton County
PO Box 667
Jonesboro, GA 30237-0667
(404) 363-8494"
The Arc of Dodge County,Georgia,Eastman,Dodge,"The Arc of Dodge County
1032 Evergreen Cir
Eastman, GA 31023-3564
lynntimmer@gmail.com
(478) 374-6249"
The Arc of Douglas County,Georgia,Douglasville,Douglas,"The Arc of Douglas County
PO Box 985
Douglasville, GA 30133-0985
screenprn@mindspring.com
(770) 949-7789"
The Arc of Georgia,Georgia,Atlanta,Fulton,888-401-1581
The Arc of Greater Columbus,Georgia,Columbus,Muscogee,"The Arc of Greater Columbus
Carolyn V. Edwards Golden-President
P.O. Box 4538
Columbus, GA 31914-0538
carolyngolden23@yahoo.com
(706) 992-4933"
The Arc of Liberty County,Georgia,Hinesville,Liberty,"The Arc of Liberty County
PO Box 908
Hinesville, GA 31310-0908
glw.1950@gmail.com
(912) 492-9285"
The Arc of Middle Georgia,Georgia,Warner Robins,Houston,"The Arc of Middle Georgia
105 Creekview Trail
Warner Robins, GA 31088
(478) 283-0588"
The Arc of Northeast Georgia,Georgia,Demorest,Habersham,"The Arc of Northeast Georgia
PO Box 478
Demorest, GA 30535-0478
jmcferrin@piedmont.edu
(706) 776-8023"
The Arc of Thomas-Grady Counties,Georgia,Thomasville,Thomas,"The Arc of Thomas-Grady Counties
PO Box 994
Thomasville, GA 31799-0994
cspears@swgaboh.org
(229) 225-4065"
The Arc of Toombs County,Georgia,Lyons,Toombs,"The Arc of Toombs County
PO Box 27
Lyons, GA 30436-0027
(912) 526-3268"
Autism Behavor Consulting Group,Hawaii,Waialua,Honolulu,800-856-7736
Autism Services in Hawaii,Hawaii,N/A,N/A,By Website
Autism Society Of Hawaii,Hawaii,Honolulu,Honolulu,By Website
Autism Speaks of Hawaii,Hawaii,N/A,N/A,By Website
Easter Seals and Autism of Hawaii,Hawaii,Honolulu,Honolulu,808-536-1015
Pacific Autism Center,Hawaii,Honolulu,Honolulu,By Website
The Arc in Hawaii,Hawaii,Honolulu,Honolulu,"The Arc in Hawaii
3989 Diamond Head Road
Honolulu, HI 96816
info@thearcinhawaii.org
(808) 737-7995"
The Arc of Hilo,Hawaii,Hilo,Hawaii,"The Arc of Hilo
1099 Waianuenue Ave
Hilo, HI 96720-2019
arc@hiloarc.org
(808) 935-7644"
The Arc of Kona,Hawaii,Kealakekua,Hawaii,"The Arc of Kona
PO Box 127
Kealakekua, HI 96750-0127
(808) 323-2626"
