name,country,city,address,latitude,longitude,info,free_quote_link
Desert Arc,USA,California," ,Country Club Dr,73255,Palm Desert,92260-2309,Riverside",36.778261,-119.417932,"rbalocco@desertarc.org, (760) 346-1611",
Desert Area Resources and Training,USA,California," ,E Ridgecrest Blvd,201,Ridgecrest,93555-3919,Kern",36.778261,-119.417932,"dart@dartontarget.org, (760) 375-9787",
Pacific Autism Center for Education (PACE),USA,California," , , ,Santa Clara,95050,Santa Clara",36.778261,-119.417932,admin@pacificautism.org,
Placer ARC,USA,California," ,Vernon St,522,Roseville,95678-2639,Placer",36.778261,-119.417932,"barbarag@placerarc.org, (916) 781-3016",
The Arc – Solano,USA,California,"4119, , ,Vallejo,94590-0411,Solano",36.778261,-119.417932,"thearcsolano@email.com, (707) 552-2935",
The Arc – Taft,USA,California," ,Van Buren St,214,Taft,93268-1813,Kern",36.778261,-119.417932,(661) 763-1532,
The Arc Fresno,USA,California," ,N Marty Ave Ste 101,4567,Fresno,93722-7810,Fresno",36.778261,-119.417932,(559) 226-6268,
The Arc of Alameda County,USA,California," ,Doolittle Dr,14700,San Leandro,94577-6619,Alameda",36.778261,-119.417932,"ronluter@arcalameda.org, (510) 357-3569",
The Arc of Butte County,USA,California," ,Park Ave,2030,Chico,95928-6701,Butte",36.778261,-119.417932,(530) 891-5865,
The Arc Of California,USA,California," ,8th Street,1225,Sacramento,95814,Sacramento",36.778261,-119.417932,916-552-6619,
The Arc of Los Angeles and Orange Counties,USA,California," ,Woodruff Ave,12049,Downey,90241-5603,Los Angeles",36.778261,-119.417932,"admin@arcselac.org, (562) 803-4606",
The Arc of Riverside County,USA,California," ,Mar Vista Ct,8138,Riverside,92504-4324,Riverside",36.778261,-119.417932,"Ewhitt@arcriverside.org, (951) 688-5141",
The Arc of San Diego,USA,California," ,Market St,3030,San Diego,92102-3230,San Diego",36.778261,-119.417932,"info@arc-sd.com, (619) 685-1175",
The Arc of Ventura County,USA,California," ,Walker St,5103,Ventura,93003-7358,Ventura",36.778261,-119.417932,(805) 650-8611,
The Arc San Francisco,USA,California," ,Howard St,1500,San Francisco,94103-2525,San Francisco",36.778261,-119.417932,"eclobucker@thearcsf.org, (415) 255-7200",
ADVOCACY Denver,USA,Colorado," ,Sherman St Ste 300,1905,Denver,80203-1142,Denver",39.550051,-105.782067,"sgottlieb@advocacydenver.org, (303) 831-7733",
Autism Society of Colorado,USA,Colorado," ,S. Wadsworth Blvd.,550,Lakewood,80226,Jefferson",39.550051,-105.782067,720-714-0794,
Autism Speaks Colorado Resources,USA,Colorado," ,Quail Lake Loop,1330,Colorado Springs,80906,El Paso",39.550051,-105.782067,719-924-4533,
"The Arc – Jefferson, Clear Creek & Gilpin Counties",USA,Colorado," ,W 14th Ave Ste 100,8725,Lakewood,80215-4849,Jefferson",39.550051,-105.782067,"info@arcjc.org, (303) 232-1338",
The Arc Arapahoe & Douglas Counties,USA,Colorado," ,E Arapahoe Rd Unit 208,8100,Centennial,80112-1395,Arapahoe",39.550051,-105.782067,"kstahlman@msn.com, (303) 220-9228",
The Arc Mesa County,USA,Colorado,"2292, , ,Grand Junction,81502-2292,Mesa",39.550051,-105.782067,"arcmesa@aol.com, (970) 245-5775",
The Arc of Adams County,USA,Colorado," ,E 112th Ave,641,Northglenn,80233-3013,Adams",39.550051,-105.782067,"info@arcadams.org, (303) 428-0310",
The Arc of Aurora,USA,Colorado," ,S Chambers Rd,1342,Aurora,80017-4045,Arapahoe",39.550051,-105.782067,"JSARCAURORA@aol.com, (720) 213-1420",
The Arc of Colorado,USA,Colorado," ,Logan Street,1580,Denver,80203,Denver",39.550051,-105.782067,303-864-9334,
The Arc of Larimer County,USA,Colorado," ,Coronado Ct Bldg 7,109,Fort Collins,80525-4929,Larimer",39.550051,-105.782067,"wrobinsonarc@gmail.com, (970) 204-6991",
The Arc of Pueblo,USA,Colorado," ,Vinewood Ln,2705,Pueblo,81005-3087,Pueblo",39.550051,-105.782067,"connie@thearcppr.org, (719) 545-5845",
The Arc of the Pikes Peak Region,USA,Colorado," ,N Meade Ave,12,Colorado Springs,80909-5634,El Paso",39.550051,-105.782067,"connie@thearcppr.org, (719) 471-4800",
The Arc of Weld County,USA,Colorado," ,Golden St,3700,Evans,80620-2724,Weld",39.550051,-105.782067,"arc@arcweldcounty.org, (970) 353-5219",
The Association for Community Living in Boulder County,USA,Colorado," ,N 71st St,5744,Longmont,80503-8623,Boulder",39.550051,-105.782067,"info@aclboulder.org, (303) 527-0888",
Friends of New Milford,USA,Connecticut," ,Chestnut Land Rd,238,New Milford,06776-2521,Litchfield",41.603221,-73.087749,"friends@friendsofnm.org, (860) 355-5343",
Litchfield County Arc,USA,Connecticut," ,Main St,314,Torrington,06790-5055,Litchfield",41.603221,-73.087749,"larc@litchfieldarc.org, (860) 482-9364",
"MARC, Inc. of Manchester",USA,Connecticut," , , ,Manchester,06040-3824,Hartford",41.603221,-73.087749,"info@marcct.org, (860) 646-5718",
MARC: Community Resources,USA,Connecticut," ,Washington St,124,Middletown,06457-2820,Middlesex",41.603221,-73.087749,"liz.warner@marc-cr.org, (860) 342-0700",
Sarah Seneca Residential Services,USA,Connecticut," ,Business Park Dr Ste 1,11,Branford,06405-2963,New Haven",41.603221,-73.087749,"sarahseneca@serahseneca.org, (203) 315-3770",
"Sarah Tuxis Residential Services, Inc.",USA,Connecticut," ,Boston St,45,Guilford,06437-2816,New Haven",41.603221,-73.087749,"Tuxis@cshore.com, (203) 458-8532",
"STAR, Inc., Lighting the Way",USA,Connecticut," ,Wolfpit Ave,182,Norwalk,06851-3436,Fairfield",41.603221,-73.087749,"mjohnson@starinconline.com, (203) 846-9581",
The Arc of Meriden-Wallingford,USA,Connecticut," ,Research Pkwy,200,Meriden,06450-7171,New Haven",41.603221,-73.087749,"info@mwsinc.org, (203) 237-9975",
The Arc of New London County,USA,Connecticut," ,Sachem St,125,Norwich,06360-4128,New London",41.603221,-73.087749,"KStauffer@thearcnlc.org, (860) 889-4435",
The Arc of Quinebaug Valley,USA,Connecticut," ,Cook Hill Rd.,687,Danielson,06239,Windham",41.603221,-73.087749,"smr@qvarc.org, (860) 774-2827",
The Arc of Southington,USA,Connecticut," ,W Main St,201,Plantsville,06479-1131,Hartford",41.603221,-73.087749,"chapsonme@yahoo.com, (860) 628-9220",
The Arc of the Farmington Valley,USA,Connecticut," ,Commerce Dr,225,Canton,06019-2478,Hartford",41.603221,-73.087749,"rcipolla@favarh.org, (860) 693-6662",
Tri-County Arc,USA,Connecticut," ,Route 66 E,65,Columbia,06237-1235,Tolland",41.603221,-73.087749,"info@tri-countyarc.org, (860) 228-2070",
Waterbury Arc,USA,Connecticut," ,E Main St,1929,Waterbury,06705-1851,New Haven",41.603221,-73.087749,"dvitarelli@waterburyarc.org, (203) 575-0707",
WeCAHR,USA,Connecticut," ,Main St,211,Danbury,06810-6657,Fairfield",41.603221,-73.087749,(203) 792-3540,
Abilities Resource Center of Indian River County,USA,Florida," ,16th Ave,1375,Vero Beach,32960-3768,Indian River",27.664827,-81.515754,"charlesb@arcir.org, (561) 562-6854",
Arc Desoto,USA,Florida,"1001, , ,Arcadia,34265-1001,DeSoto",27.664827,-81.515754,(863) 494-2328,
Arc Flagler County,USA,Florida,"354412, , ,Palm Coast,32135-4412,Flagler",27.664827,-81.515754,"ppearson1@mindspring.com, (386) 446-2385",
ARC Gateway,USA,Florida," ,N 10th Ave,3932,Pensacola,32503-2807,Escambia",27.664827,-81.515754,"aneumann@arc-gateway.org, (850) 434-2638",
Horizons of Okaloosa County,USA,Florida," ,Truxton Ave,123,Fort Walton Beach,32547-2460,Okaloosa",27.664827,-81.515754,"tmallini@cox.net, (850) 863-1530",
Jackson County Arc,USA,Florida," ,Pennsylvania Ave,2973,Marianna,32448-2713,Jackson",27.664827,-81.515754,"tmallini@cox.net, (850) 526-2311",
"LARC, Inc.",USA,Florida," ,Hanson St,2570,Fort Myers,33901-7408,Lee",27.664827,-81.515754,"info@larcleecounty.org, (239) 334-6285",
Levy County Arc,USA,Florida,"86, , ,Otter Creek,32683-0086,Levy",27.664827,-81.515754,(352) 486-4293,
Ridge Area Arc,USA,Florida," ,W College Dr,120,Avon Park,33825-9348,Highlands",27.664827,-81.515754,"rbeckman@ridgeareaarc.org, (863) 452-1295",
SunriseArc,USA,Florida," ,Radio Rd # B,35201,Leesburg,34788-3148,Lake",27.664827,-81.515754,(352) 787-3079,
The Arc Big Bend Inc.,USA,Florida,"912, , ,Madison,32341-0912,Madison",27.664827,-81.515754,"t.ressler@earthlink.net, (850) 973-4614",
The Arc Jacksonville,USA,Florida," ,N Davis St,1050,Jacksonville,32209-6808,Duval",27.664827,-81.515754,"rmcalee.arcjax@gmail.com, (904) 355-0155",
The Arc Nature Coast,USA,Florida," ,Neff Lake Rd,5283,Brooksville,34601-8018,Hernando",27.664827,-81.515754,(352) 544-2322,
The Arc North Florida,USA,Florida," ,Goldkist Blvd SW,511,Live Oak,32064-4980,Suwannee",27.664827,-81.515754,"blake@arcnfl.com, (386) 362-7143",
The Arc of Alachua County,USA,Florida," ,NW 83rd St,3303,Gainesville,32606-6227,Alachua",27.664827,-81.515754,"bharned@arcalachua.org, (352) 334-4060",
The Arc of Bradford County,USA,Florida," ,S Water St,1351,Starke,32091-4506,Bradford",27.664827,-81.515754,"sherry@arcbradford.org, (904) 964-7699",
The Arc of Charlotte County,USA,Florida,"495021, , ,Port Charlotte,33949-5021,Charlotte",27.664827,-81.515754,"dmsloan28@comcast.net, (941) 627-8771",
The Arc of Palm Beach County,USA,Florida," ,Australian Ave,1201,Riviera Beach,33404-6635,Palm Beach",27.664827,-81.515754,(561) 842-3213,
The Arc of Putnam County,USA,Florida," ,Westover Dr,1209,Palatka,32177-5329,Putnam",27.664827,-81.515754,"frontdesk.arc@gmail.com, (386) 325-2249",
The Arc of South Florida,USA,Florida," ,Biscayne Blvd,5555,Miami,33137-2656,Miami-Dade",27.664827,-81.515754,"arcsofla@aol.com, (305) 759-8500",
The Arc of St. Lucie County,USA,Florida,"1016, , ,Fort Pierce,34954-1016,St. Lucie",27.664827,-81.515754,"slarc@gate.net, (772) 468-7879",
The Arc of the Glades,USA,Florida," ,NW 16th St,4250,Belle Glade,33430-5962,Palm Beach",27.664827,-81.515754,"arcglades@yahoo.com, (561) 996-9583",
The Arc of the St. Johns,USA,Florida," ,Arc Dr,2101,St. Augustine,32084-0512,St. Johns",27.664827,-81.515754,"info@arcsj.org, (904) 824-7249",
The Arc of Volusia,USA,Florida,"9658, , ,Daytona Beach,32120-9658,Volusia",27.664827,-81.515754,"patarcv@cfl.rr.com, (386) 274-4736",
The Arc of Washington-Holmes Counties,USA,Florida," ,South Blvd,1335,Chipley,32428-2219,Washington",27.664827,-81.515754,"sandywpritchard@bellsouth.net, (850) 638-7517",
The Arc Santa Rosa,USA,Florida," ,Dixie Rd,6225,Milton,32570-6558,Santa Rosa",27.664827,-81.515754,"smith_pas@bellsouth.net, (850) 623-9320",
The Arc Suncoast,USA,Florida," ,Old County Rd 54,8726,New Port Richey,34653,Pasco",27.664827,-81.515754,(727) 376-2777,
UPARC,USA,Florida," ,N Belcher Rd Ste 249,1501,Clearwater,33765-1300,Pinellas",27.664827,-81.515754,"uparcbev@yahoo.com, (727) 799-3330",
"Victory Living Programs, Inc.",USA,Florida," ,W Cypress Creek Rd Ste 400,1001,Fort Lauderdale,33309-1951,Broward",27.664827,-81.515754,"bwigand@victoryliving.org, (954) 616-1074",
Walton County Arc,USA,Florida,"813, , ,Defuniak Springs,32435-0813,Walton",27.664827,-81.515754,"kim@panhandle.rr.com, (850) 892-5013",
"Albany Advocacy Resource Center, Inc.",USA,Georgia," ,Pointe North Blvd,2616,Albany,31721-1526,Dougherty",32.157435,-82.907123,"abowling@albanygaarc.org, (229) 888-6852",
Arc of Walker County,USA,Georgia,"438, , ,La Fayette,30728-0438,Walker",32.157435,-82.907123,"Arcwalker@windstream.net, (706) 638-0962",
Irwin County Arc,USA,Georgia,"614, , ,Ocilla,31774-0614,Irwin",32.157435,-82.907123,"icrcc@windstream.net, (229) 468-9886",
Stephens County Arc,USA,Georgia,"536, , ,Toccoa,30577-1409,Stephens",32.157435,-82.907123,"dedoe@windstream.net, (706) 886-9556",
The Arc Macon,USA,Georgia," ,Sheraton Dr,4664,Macon,31210-1322,Bibb",32.157435,-82.907123,"aharrell@maconarc.org, (478) 477-7764",
The Arc of Bleckley County,USA,Georgia,"496, , ,Cochran,31014-0496,Bleckley",32.157435,-82.907123,"Jsapp108@bellsouth.net, (478) 934-3578",
The Arc of Brooks County,USA,Georgia," ,West Rountree,1200,Quitman,31643,Brooks",32.157435,-82.907123,"linda7626@windstream.net, (229) 263-9302",
The Arc of Clayton County,USA,Georgia,"667, , ,Jonesboro,30237-0667,Clayton",32.157435,-82.907123,(404) 363-8494,
The Arc of Dodge County,USA,Georgia," ,Evergreen Cir,1032,Eastman,31023-3564,Dodge",32.157435,-82.907123,"lynntimmer@gmail.com, (478) 374-6249",
The Arc of Douglas County,USA,Georgia,"985, , ,Douglasville,30133-0985,Douglas",32.157435,-82.907123,"screenprn@mindspring.com, (770) 949-7789",
The Arc of Greater Columbus,USA,Georgia," , , ,Columbus,31914-0538,Muscogee",32.157435,-82.907123,"carolyngolden23@yahoo.com, (706) 992-4933",
